Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
2,43,ARI,Max Melton,DB,22,2024,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,36,,,Rutgers,College Stats
2,44,LVR,Jackson Powers-Johnson,OL,21,2024,0,0,1,4,4,15,0,0,0,0,0,0,0,0,0,0,0,,,,Oregon,College Stats
2,45,GNB,Edgerrin Cooper,LB,22,2024,0,0,0,4,4,14,0,0,0,0,0,0,0,0,0,0,0,57,1,3.5,Texas A&M,College Stats
2,46,CAR,Jonathon Brooks,RB,21,2024,0,0,0,0,0,3,0,0,0,0,0,9,22,0,3,23,0,,,,Texas,College Stats
2,47,NYG,Tyler Nubin,DB,23,2024,0,0,1,5,5,13,0,0,0,0,0,0,0,0,0,0,0,57,,,Minnesota,College Stats
2,48,JAX,Maason Smith,DT,21,2024,0,0,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,10,,3.0,LSU,College Stats
2,49,CIN,Kris Jenkins,DL,22,2024,0,0,0,4,4,15,0,0,0,0,0,0,0,0,0,0,0,10,,3.0,Michigan,College Stats
2,50,WAS,Mike Sainristil,DB,23,2024,0,0,1,5,5,17,0,0,0,0,0,0,0,0,0,0,0,62,2,,Michigan,College Stats
2,51,PIT,Zach Frazier,OL,23,2024,0,0,1,6,6,15,0,0,0,0,0,0,0,0,0,-2,0,,,,West Virginia,College Stats
2,52,IND,Adonai Mitchell,WR,21,2024,0,0,1,3,3,17,1,1,24,0,0,4,6,0,23,312,0,,,,Texas,College Stats
2,53,WAS,Ben Sinnott,TE,22,2024,0,0,0,0,0,17,0,0,0,0,0,0,0,0,5,28,1,2,,,Kansas St.,College Stats
2,54,CLE,Michael Hall,DT,21,2024,0,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,8,,1.0,Ohio St.,College Stats
2,55,MIA,Patrick Paul,OL,22,2024,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,,,,Houston,College Stats
2,56,DAL,Marshawn Kneeland,DL,23,2024,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,9,,,Western Michigan,College Stats
2,57,TAM,Chris Braswell,LB,22,2024,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,11,,1.5,Alabama,College Stats
2,58,GNB,Javon Bullard,DB,22,2024,0,0,1,4,4,15,0,0,0,0,0,0,0,0,0,0,0,61,,,Georgia,College Stats
2,59,HOU,Blake Fisher,OL,21,2024,0,0,0,3,3,15,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats
2,60,BUF,Cole Bishop,SAF,21,2024,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,25,,,Utah,College Stats
2,61,DET,Ennis Rakestraw,DB,22,2024,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,,,Missouri,College Stats
2,62,BAL,Roger Rosengarten,OL,22,2024,0,0,1,8,8,17,0,0,0,0,0,0,0,0,0,0,0,,,,Washington,College Stats
2,63,KAN,Kingsley Suamataia,OL,21,2024,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,,,,BYU,College Stats
2,64,SFO,Renardo Green,DB,23,2024,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,41,1,,Florida St.,College Stats
3,65,NYJ,Malachi Corley,WR,22,2024,0,0,0,0,0,9,0,0,0,0,0,2,26,0,3,16,0,,,,Western Kentucky,College Stats
3,66,ARI,Trey Benson,RB,21,2024,0,0,0,2,2,13,0,0,0,0,0,63,291,1,6,59,0,,,,Florida St.,College Stats
3,67,WAS,Brandon Coleman,OL,23,2024,0,0,1,8,8,16,0,0,0,0,0,0,0,0,0,0,0,,,,TCU,College Stats
3,68,NWE,Caedan Wallace,OL,24,2024,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,College Stats
3,69,LAC,Junior Colson,LB,21,2024,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,15,,,Michigan,College Stats
3,70,NYG,Andru Phillips,DB,22,2024,0,0,0,3,3,14,0,0,0,0,0,0,0,0,0,0,0,46,1,1.0,Kentucky,College Stats
3,71,ARI,Isaiah Adams,OL,24,2024,0,0,0,3,3,15,0,0,0,0,0,0,0,0,0,0,0,,,,Illinois,College Stats
3,72,CAR,Trevin Wallace,LB,21,2024,0,0,1,3,3,13,0,0,0,0,0,0,0,0,0,0,0,36,,1.0,Kentucky,College Stats
3,73,DAL,Cooper Beebe,OL,23,2024,0,0,1,5,5,16,0,0,0,0,0,0,0,0,0,0,0,,,,Kansas St.,College Stats
3,74,ATL,Bralen Trice,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Washington,College Stats
3,75,CHI,Kiran Amegadjie,OL,22,2024,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,,,,Yale,
3,76,DEN,Jonah Elliss,DE,21,2024,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,24,,5.0,Utah,College Stats
3,77,LVR,Delmar Glaze,OL,22,2024,0,0,1,5,5,17,0,0,0,0,0,0,0,0,0,0,0,,,,Maryland,College Stats
3,78,HOU,Calen Bullock,SAF,21,2024,0,0,1,5,5,17,0,0,0,0,0,0,0,0,0,0,0,37,5,,USC,College Stats
3,79,IND,Matt Goncalves,OL,23,2024,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,,,,Pittsburgh,College Stats
3,80,CIN,Jermaine Burton,WR,23,2024,0,0,0,1,1,14,0,0,0,0,0,0,0,0,4,107,0,,,,Alabama,College Stats
3,81,SEA,Christian Haynes,OL,24,2024,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,,,,Connecticut,College Stats
3,82,ARI,Tip Reiman,TE,22,2024,0,0,1,0,0,17,0,0,0,0,0,0,0,0,6,37,0,,,,Illinois,College Stats
3,83,LAR,Blake Corum,RB,23,2024,0,0,0,2,2,17,0,0,0,0,0,58,207,0,7,58,0,1,,,Michigan,College Stats
3,84,PIT,Roman Wilson,WR,23,2024,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats
3,85,CLE,Zak Zinter,OL,23,2024,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats
3,86,SFO,Dominick Puni,OL,24,2024,0,0,1,7,7,17,0,0,0,0,0,0,0,0,0,-3,0,,,,Kansas,College Stats
3,87,DAL,Marist Liufau,LB,23,2024,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,30,,1.5,Notre Dame,College Stats
3,88,GNB,MarShawn Lloyd,RB,23,2024,0,0,0,0,0,1,0,0,0,0,0,6,15,0,1,3,0,,,,USC,College Stats
3,89,TAM,Tykee Smith,DB,23,2024,0,0,0,3,3,13,0,0,0,0,0,0,0,0,0,0,0,38,2,,Georgia,College Stats
3,90,ARI,Elijah Jones,DB,24,,0,0,0,,,,,,,,,,,,,,,,,,Boston Col.,College Stats
3,91,GNB,Ty'Ron Hopper,LB,23,2024,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,5,,,Missouri,College Stats
3,92,TAM,Jalen McMillan,WR,22,2024,0,0,0,5,5,13,0,0,0,0,0,4,43,0,37,461,8,,,,Washington,College Stats
3,93,BAL,Adisa Isaac,DE,22,2024,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,,,Penn St.,College Stats
3,94,PHI,Jalyx Hunt,DE,23,2024,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,12,,1.5,Houston Christian,
3,95,BUF,DeWayne Carter,DT,23,2024,0,0,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,11,,,Duke,College Stats
3,96,JAX,Jarrian Jones,DB,23,2024,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,30,1,2.0,Florida St.,College Stats
3,97,CIN,McKinnley Jackson,DL,22,2024,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,6,,1.0,Texas A&M,College Stats
